ID_station;nom_station;adresse_station;longitude_WSG84;latitude_WSG84;nom_porteur;type_charge;nbre_pdc;type_connecteur;date_maj;observation
REN056;ETABLISSEMENT RENAULT DE USSEL;;45,568347;2,330113;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN057;ETABLISSEMENT RENAULT DE AJACCIO;;41,926708;8,783101;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN058;ETABLISSEMENT RENAULT DE PORTO-VECCHIO;;41,604123;9,277323;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN059;ETABLISSEMENT RENAULT DE DIJON;;47,303122;5,022531;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN060;ETABLISSEMENT RENAULT DE BEAUNE;;47,013585;4,815398;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN061;ETABLISSEMENT RENAULT DE SAINT-BRIEUC;;48,502173;-2,738337;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN062;ETABLISSEMENT RENAULT DE DINAN;;48,464604;-2,058826;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN063;ETABLISSEMENT RENAULT DE LANNION;;48,725252;-3,438669;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN064;ETABLISSEMENT RENAULT DE LAMBALLE;;48,469024;-2,511531;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN065;ETABLISSEMENT RENAULT DE PAIMPOL;;48,770978;-3,040068;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
REN066;ETABLISSEMENT RENAULT DE LOUDEAC;;48,172007;-2,747772;Renault;accélérée;;Type 3c;01/07/2014;Point de recharge accessible uniquement durant les horaires d'ouverture du point de vente. Pour tout renseignement : www.renault.fr
