n_amenageur;n_operateur;n_enseigne;ID_station;n_station;ad_station;code_insee;Xlongitude;Xlatitude;nbre_pdc;ID_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
Jiva Hill Resort;Jiva Hill Resort;TESLA Recharge à Destination;;Jiva Hill Resort;Route d'Harée, Crozet,  01170 France;1071;6.019858;46.269278;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Jiva Hill Resort;Jiva Hill Resort;TESLA Recharge à Destination;;Jiva Hill Resort;Route d'Harée, Crozet,  01170 France;1071;6.019858;46.269278;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Jum'Hôtel - Restaurant Atelier Grill;Jum'Hôtel - Restaurant Atelier Grill;TESLA Recharge à Destination;;Jum'Hôtel - Restaurant Atelier Grill;2 Rue du Lieutenant Didier, Saints-Geosmes,  52200 France;52447;5.32894;47.829086;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Jum'Hôtel - Restaurant Atelier Grill;Jum'Hôtel - Restaurant Atelier Grill;TESLA Recharge à Destination;;Jum'Hôtel - Restaurant Atelier Grill;2 Rue du Lieutenant Didier, Saints-Geosmes,  52200 France;52447;5.32894;47.829086;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Jum'Hôtel - Restaurant Atelier Grill;Jum'Hôtel - Restaurant Atelier Grill;TESLA Recharge à Destination;;Jum'Hôtel - Restaurant Atelier Grill;2 Rue du Lieutenant Didier, Saints-Geosmes,  52200 France;52447;5.32894;47.829086;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Kon Tiki - Riviera Villages ;Kon Tiki - Riviera Villages ;TESLA Recharge à Destination;;Kon Tiki - Riviera Villages ;4363 Route des Plages, Ramatuelle,  83350 France;83101;6.658513;43.23189;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Kon Tiki - Riviera Villages ;Kon Tiki - Riviera Villages ;TESLA Recharge à Destination;;Kon Tiki - Riviera Villages ;4363 Route des Plages, Ramatuelle,  83350 France;83101;6.658513;43.23189;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Kon Tiki - Riviera Villages ;Kon Tiki - Riviera Villages ;TESLA Recharge à Destination;;Kon Tiki - Riviera Villages ;4363 Route des Plages, Ramatuelle,  83350 France;83101;6.658513;43.23189;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Kube Hôtel Saint-Tropez;Kube Hôtel Saint-Tropez;TESLA Recharge à Destination;;Kube Hôtel Saint-Tropez;319 RD 98A, Route du Littoral, Gassin,  83580 France;83065;6.619571;43.263387;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Kube Hôtel Saint-Tropez;Kube Hôtel Saint-Tropez;TESLA Recharge à Destination;;Kube Hôtel Saint-Tropez;319 RD 98A, Route du Littoral, Gassin,  83580 France;83065;6.619571;43.263387;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Kube Hôtel Saint-Tropez;Kube Hôtel Saint-Tropez;TESLA Recharge à Destination;;Kube Hôtel Saint-Tropez;319 RD 98A, Route du Littoral, Gassin,  83580 France;83065;6.619571;43.263387;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Kyriad Clermont-Ferrand Centre;Kyriad Clermont-Ferrand Centre;TESLA Recharge à Destination;;Kyriad Clermont-Ferrand Centre;51 rue Bonnabaud, Clermont-Ferrand,  63000 France;63113;3.080421;45.772971;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Kyriad Clermont-Ferrand Centre;Kyriad Clermont-Ferrand Centre;TESLA Recharge à Destination;;Kyriad Clermont-Ferrand Centre;51 rue Bonnabaud, Clermont-Ferrand,  63000 France;63113;3.080421;45.772971;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
L'Apogée Courchevel;L'Apogée Courchevel;TESLA Recharge à Destination;;L'Apogée Courchevel;5 Rue Emile Allais, Courchevel,  73120 France;73227;6.632525;45.411759;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
L'Apogée Courchevel;L'Apogée Courchevel;TESLA Recharge à Destination;;L'Apogée Courchevel;5 Rue Emile Allais, Courchevel,  73120 France;73227;6.632525;45.411759;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
