n_amenageur;n_operateur;n_enseigne;ID_station;n_station;ad_station;code_insee;Xlongitude;Xlatitude;nbre_pdc;ID_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
Château de Beaulieu;Château de Beaulieu;TESLA Recharge à Destination;;Château de Beaulieu;1098 rue de Lillers, Busnes,  62350 France;62584;2.50888;50.580795;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Beaulieu;Château de Beaulieu;TESLA Recharge à Destination;;Château de Beaulieu;1098 rue de Lillers, Busnes,  62350 France;62584;2.50888;50.580795;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Beaulieu;Château de Beaulieu;TESLA Recharge à Destination;;Château de Beaulieu;1098 rue de Lillers, Busnes,  62350 France;62584;2.50888;50.580795;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Belmesnil;Château de Belmesnil;TESLA Recharge à Destination;;Château de Belmesnil;Route du Château, Saint-Denis-le-Thiboult,  76116 France;76163;1.363544;49.452786;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Belmesnil;Château de Belmesnil;TESLA Recharge à Destination;;Château de Belmesnil;Route du Château, Saint-Denis-le-Thiboult,  76116 France;76163;1.363544;49.452786;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Challanges;Château de Challanges;TESLA Recharge à Destination;;Château de Challanges;478 rue des Templiers, Beaune,  21200 France;21170;4.867957;47.007992;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Challanges;Château de Challanges;TESLA Recharge à Destination;;Château de Challanges;478 rue des Templiers, Beaune,  21200 France;21170;4.867957;47.007992;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Challanges;Château de Challanges;TESLA Recharge à Destination;;Château de Challanges;478 rue des Templiers, Beaune,  21200 France;21170;4.867957;47.007992;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Chapeau Cornu;Château de Chapeau Cornu;TESLA Recharge à Destination;;Château de Chapeau Cornu;312 Rue de la Garenne  , Vignieu,  38890 France;38546;5.404367;45.635625;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Chapeau Cornu;Château de Chapeau Cornu;TESLA Recharge à Destination;;Château de Chapeau Cornu;312 Rue de la Garenne  , Vignieu,  38890 France;38546;5.404367;45.635625;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Chapeau Cornu;Château de Chapeau Cornu;TESLA Recharge à Destination;;Château de Chapeau Cornu;312 Rue de la Garenne  , Vignieu,  38890 France;38546;5.404367;45.635625;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Chenonceau;Château de Chenonceau;TESLA Recharge à Destination;;Château de Chenonceau;rue du Château, Chenonceaux, Centre 37150 France;37096;1.066986;47.329847;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Chenonceau;Château de Chenonceau;TESLA Recharge à Destination;;Château de Chenonceau;rue du Château, Chenonceaux, Centre 37150 France;37096;1.066986;47.329847;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Chenonceau;Château de Chenonceau;TESLA Recharge à Destination;;Château de Chenonceau;rue du Château, Chenonceaux, Centre 37150 France;37096;1.066986;47.329847;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Clérac;Château de Clérac;TESLA Recharge à Destination;;Château de Clérac;11 Route des Châteaux, Clérac,  17270 France;17167;-0.223894;45.183977;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Clérac;Château de Clérac;TESLA Recharge à Destination;;Château de Clérac;11 Route des Châteaux, Clérac,  17270 France;17167;-0.223894;45.183977;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Germigney R&C Port-Lesney;Château de Germigney R&C Port-Lesney;TESLA Recharge à Destination;;Château de Germigney R&C Port-Lesney;31 rue Edgar Faure, Port-Lesney,  39600 France;39439;5.823751;46.999149;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Germigney R&C Port-Lesney;Château de Germigney R&C Port-Lesney;TESLA Recharge à Destination;;Château de Germigney R&C Port-Lesney;31 rue Edgar Faure, Port-Lesney,  39600 France;39439;5.823751;46.999149;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Gilly;Château de Gilly;TESLA Recharge à Destination;;Château de Gilly;Place du Château, Gilly-les-Citeaux,  21640 France;21716;4.981622;47.172293;4;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Gilly;Château de Gilly;TESLA Recharge à Destination;;Château de Gilly;Place du Château, Gilly-les-Citeaux,  21640 France;21716;4.981622;47.172293;4;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Gilly;Château de Gilly;TESLA Recharge à Destination;;Château de Gilly;Place du Château, Gilly-les-Citeaux,  21640 France;21716;4.981622;47.172293;4;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Gilly;Château de Gilly;TESLA Recharge à Destination;;Château de Gilly;Place du Château, Gilly-les-Citeaux,  21640 France;21716;4.981622;47.172293;4;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de l'Hoste;Château de l'Hoste;TESLA Recharge à Destination;;Château de l'Hoste;D 656, Saint-Beauzeil,  82150 France;82185;0.928082;44.338187;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de l'Hoste;Château de l'Hoste;TESLA Recharge à Destination;;Château de l'Hoste;D 656, Saint-Beauzeil,  82150 France;82185;0.928082;44.338187;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de l'Hoste;Château de l'Hoste;TESLA Recharge à Destination;;Château de l'Hoste;D 656, Saint-Beauzeil,  82150 France;82185;0.928082;44.338187;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de l'Ile;Château de l'Ile;TESLA Recharge à Destination;;Château de l'Ile;4 Quai Heydt, Ostwald,  67540 France;67365;7.71263;48.544464;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de l'Ile;Château de l'Ile;TESLA Recharge à Destination;;Château de l'Ile;4 Quai Heydt, Ostwald,  67540 France;67365;7.71263;48.544464;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de la Presle;Château de la Presle;TESLA Recharge à Destination;;Château de la Presle;3 Rue Louis Pergaud, Breurey-les-Faverney, Bourgogne Franche-Comte 70160 France;70343;6.125781;47.758981;2;;7;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de la Presle;Château de la Presle;TESLA Recharge à Destination;;Château de la Presle;3 Rue Louis Pergaud, Breurey-les-Faverney, Bourgogne Franche-Comte 70160 France;70343;6.125781;47.758981;2;;7;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de la Treyne - Relais & Château;Château de la Treyne - Relais & Château;TESLA Recharge à Destination;;Château de la Treyne - Relais & Château;Route de Rocamadour, Lacave,  46200 France;46337;1.527068;44.851324;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de la Treyne - Relais & Château;Château de la Treyne - Relais & Château;TESLA Recharge à Destination;;Château de la Treyne - Relais & Château;Route de Rocamadour, Lacave,  46200 France;46337;1.527068;44.851324;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Locguénolé;Château de Locguénolé;TESLA Recharge à Destination;;Château de Locguénolé;Locguénolé, Kervignac, Bretagne 56700 France;56083;-3.281989;47.768832;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Locguénolé;Château de Locguénolé;TESLA Recharge à Destination;;Château de Locguénolé;Locguénolé, Kervignac, Bretagne 56700 France;56083;-3.281989;47.768832;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Locguénolé;Château de Locguénolé;TESLA Recharge à Destination;;Château de Locguénolé;Locguénolé, Kervignac, Bretagne 56700 France;56083;-3.281989;47.768832;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Massillan;Château de Massillan;TESLA Recharge à Destination;;Château de Massillan;730 Chemin de Massillan, Uchaux,  84100 France;84135;4.794682;44.233569;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Massillan;Château de Massillan;TESLA Recharge à Destination;;Château de Massillan;730 Chemin de Massillan, Uchaux,  84100 France;84135;4.794682;44.233569;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Massillan;Château de Massillan;TESLA Recharge à Destination;;Château de Massillan;730 Chemin de Massillan, Uchaux,  84100 France;84135;4.794682;44.233569;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Nazelles;Château de Nazelles;TESLA Recharge à Destination;;Château de Nazelles;16 Rue Tue la Soif, Nazelles-Négron,  37530 France;37158;0.950121;47.431731;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Nazelles;Château de Nazelles;TESLA Recharge à Destination;;Château de Nazelles;16 Rue Tue la Soif, Nazelles-Négron,  37530 France;37158;0.950121;47.431731;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Noirieux;Château de Noirieux;TESLA Recharge à Destination;;Château de Noirieux;26 route du Moulin, Briollay,  49125 France;49048;-0.469936;47.576964;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Noirieux;Château de Noirieux;TESLA Recharge à Destination;;Château de Noirieux;26 route du Moulin, Briollay,  49125 France;49048;-0.469936;47.576964;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Quesmy;Château de Quesmy;TESLA Recharge à Destination;;Château de Quesmy;78 Rue du Château, Quesmy,  60640  France;60121;3.064695;49.635238;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Quesmy;Château de Quesmy;TESLA Recharge à Destination;;Château de Quesmy;78 Rue du Château, Quesmy,  60640  France;60121;3.064695;49.635238;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Quesmy;Château de Quesmy;TESLA Recharge à Destination;;Château de Quesmy;78 Rue du Château, Quesmy,  60640  France;60121;3.064695;49.635238;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Riell - Relais & Châteaux;Château de Riell - Relais & Châteaux;TESLA Recharge à Destination;;Château de Riell - Relais & Châteaux;Château de Riell, Molitg-les-Bains, Languedoc-Roussillon 66500 France;66223;2.387146;42.647125;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Riell - Relais & Châteaux;Château de Riell - Relais & Châteaux;TESLA Recharge à Destination;;Château de Riell - Relais & Châteaux;Château de Riell, Molitg-les-Bains, Languedoc-Roussillon 66500 France;66223;2.387146;42.647125;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Sacy;Château de Sacy;TESLA Recharge à Destination;;Château de Sacy;Rue des Croisettes, Sacy,  51500 France;51225;3.947951;49.194678;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Sacy;Château de Sacy;TESLA Recharge à Destination;;Château de Sacy;Rue des Croisettes, Sacy,  51500 France;51225;3.947951;49.194678;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Sissi;Château de Sissi;TESLA Recharge à Destination;;Château de Sissi;Rue Elisabeth II d'Autriche, Sassetot-le-Mauconduit,  76540 France;76755;0.530884;49.805249;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Sissi;Château de Sissi;TESLA Recharge à Destination;;Château de Sissi;Rue Elisabeth II d'Autriche, Sassetot-le-Mauconduit,  76540 France;76755;0.530884;49.805249;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Sissi;Château de Sissi;TESLA Recharge à Destination;;Château de Sissi;Rue Elisabeth II d'Autriche, Sassetot-le-Mauconduit,  76540 France;76755;0.530884;49.805249;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de St Paul;Château de St Paul;TESLA Recharge à Destination;;Château de St Paul;Lieu dit St Paul, Boudy-de-Beauregard,  47290 France;47170;0.664451;44.532845;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de St Paul;Château de St Paul;TESLA Recharge à Destination;;Château de St Paul;Lieu dit St Paul, Boudy-de-Beauregard,  47290 France;47170;0.664451;44.532845;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Valmer;Château de Valmer;TESLA Recharge à Destination;;Château de Valmer;81 Boulevard de Gigaro, La Croix-Valmer,  83420 France;83048;6.58823;43.191923;2;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Valmer;Château de Valmer;TESLA Recharge à Destination;;Château de Valmer;81 Boulevard de Gigaro, La Croix-Valmer,  83420 France;83048;6.58823;43.191923;2;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château de Vault-de-Lugny;Château de Vault-de-Lugny;TESLA Recharge à Destination;;Château de Vault-de-Lugny;11 Rue du Château, Vault-de-Lugny,  89200 France;89235;3.853293;47.495602;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château de Vault-de-Lugny;Château de Vault-de-Lugny;TESLA Recharge à Destination;;Château de Vault-de-Lugny;11 Rue du Château, Vault-de-Lugny,  89200 France;89235;3.853293;47.495602;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château des Ducs de Joyeuse;Château des Ducs de Joyeuse;TESLA Recharge à Destination;;Château des Ducs de Joyeuse;1 Allée Georges Roux, Couiza,  11190 France;11155;2.254474;42.945057;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château des Ducs de Joyeuse;Château des Ducs de Joyeuse;TESLA Recharge à Destination;;Château des Ducs de Joyeuse;1 Allée Georges Roux, Couiza,  11190 France;11155;2.254474;42.945057;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château des Ducs de Joyeuse;Château des Ducs de Joyeuse;TESLA Recharge à Destination;;Château des Ducs de Joyeuse;1 Allée Georges Roux, Couiza,  11190 France;11155;2.254474;42.945057;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château du Galoupet;Château du Galoupet;TESLA Recharge à Destination;;Château du Galoupet;Château du Galoupet, La Londe-les-Maures,  83250 France;83071;6.194765;43.126262;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château du Galoupet;Château du Galoupet;TESLA Recharge à Destination;;Château du Galoupet;Château du Galoupet, La Londe-les-Maures,  83250 France;83071;6.194765;43.126262;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Fombrauge;Château Fombrauge;TESLA Recharge à Destination;;Château Fombrauge;Lieu dit Fombrauge, Saint Christophe des Bardes,  33330 France;33426;-0.114801;44.895608;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Fombrauge;Château Fombrauge;TESLA Recharge à Destination;;Château Fombrauge;Lieu dit Fombrauge, Saint Christophe des Bardes,  33330 France;33426;-0.114801;44.895608;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Guiraud;Château Guiraud;TESLA Recharge à Destination;;Château Guiraud;Château Guiraud, Sauternes,  33210 France;33465;-0.334136;44.532762;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Guiraud;Château Guiraud;TESLA Recharge à Destination;;Château Guiraud;Château Guiraud, Sauternes,  33210 France;33465;-0.334136;44.532762;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Guiraud;Château Guiraud;TESLA Recharge à Destination;;Château Guiraud;Château Guiraud, Sauternes,  33210 France;33465;-0.334136;44.532762;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Hôtel le Boisniard;Château Hôtel le Boisniard;TESLA Recharge à Destination;;Château Hôtel le Boisniard;Le Boisniard, Chambretaud,  85500 France;85144;-0.960198;46.92681;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Hôtel le Boisniard;Château Hôtel le Boisniard;TESLA Recharge à Destination;;Château Hôtel le Boisniard;Le Boisniard, Chambretaud,  85500 France;85144;-0.960198;46.92681;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Hourtin-Ducasse;Château Hourtin-Ducasse;TESLA Recharge à Destination;;Château Hourtin-Ducasse;Route de la Chatole, Saint-Sauveur,  33250 France;33314;-0.800278;45.191485;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Hourtin-Ducasse;Château Hourtin-Ducasse;TESLA Recharge à Destination;;Château Hourtin-Ducasse;Route de la Chatole, Saint-Sauveur,  33250 France;33314;-0.800278;45.191485;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Hourtin-Ducasse;Château Hourtin-Ducasse;TESLA Recharge à Destination;;Château Hourtin-Ducasse;Route de la Chatole, Saint-Sauveur,  33250 France;33314;-0.800278;45.191485;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château La Coste;Château La Coste;TESLA Recharge à Destination;;Château La Coste;2750 Route de la Cride, Le Puy-Sainte-Réparade,  13610 France;13080;5.422946;43.634978;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château La Coste;Château La Coste;TESLA Recharge à Destination;;Château La Coste;2750 Route de la Cride, Le Puy-Sainte-Réparade,  13610 France;13080;5.422946;43.634978;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château La Fleunie Hôtel/Restaurant;Château La Fleunie Hôtel/Restaurant;TESLA Recharge à Destination;;Château La Fleunie Hôtel/Restaurant;La Fleunie prés Lascaux, Condat-sur-Vézère,  24570 France;24130;1.222886;45.093162;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château La Fleunie Hôtel/Restaurant;Château La Fleunie Hôtel/Restaurant;TESLA Recharge à Destination;;Château La Fleunie Hôtel/Restaurant;La Fleunie prés Lascaux, Condat-sur-Vézère,  24570 France;24130;1.222886;45.093162;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château La Fleunie Hôtel/Restaurant;Château La Fleunie Hôtel/Restaurant;TESLA Recharge à Destination;;Château La Fleunie Hôtel/Restaurant;La Fleunie prés Lascaux, Condat-sur-Vézère,  24570 France;24130;1.222886;45.093162;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château La Tour Carnet;Château La Tour Carnet;TESLA Recharge à Destination;;Château La Tour Carnet;Darrous, Saint-Laurent-Médoc,  33112 France;33424;-0.791841;45.152362;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château La Tour Carnet;Château La Tour Carnet;TESLA Recharge à Destination;;Château La Tour Carnet;Darrous, Saint-Laurent-Médoc,  33112 France;33424;-0.791841;45.152362;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Laborde Saint-Martin;Château Laborde Saint-Martin;TESLA Recharge à Destination;;Château Laborde Saint-Martin;53 Rue du Château, Candé sur Beuvron,  41120 France;41170;1.254974;47.496607;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Laborde Saint-Martin;Château Laborde Saint-Martin;TESLA Recharge à Destination;;Château Laborde Saint-Martin;53 Rue du Château, Candé sur Beuvron,  41120 France;41170;1.254974;47.496607;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Pape Clément;Château Pape Clément;TESLA Recharge à Destination;;Château Pape Clément;216 Avenue Dr Nancel Penard, Pessac,  33600 France;33318;-0.647566;44.805969;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Pape Clément;Château Pape Clément;TESLA Recharge à Destination;;Château Pape Clément;216 Avenue Dr Nancel Penard, Pessac,  33600 France;33318;-0.647566;44.805969;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Sainte Sabine;Château Sainte Sabine;TESLA Recharge à Destination;;Château Sainte Sabine;8 Route de Semur - RD 970, Sainte-Sabine,  21320 France;21533;4.624082;47.19229;2;;17;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Sainte Sabine;Château Sainte Sabine;TESLA Recharge à Destination;;Château Sainte Sabine;8 Route de Semur - RD 970, Sainte-Sabine,  21320 France;21533;4.624082;47.19229;2;;17;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Soutard;Château Soutard;TESLA Recharge à Destination;;Château Soutard;1 Lieu-dit Soutard, Saint-Emilion,  33330 France;33426;-0.150278;44.89803;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Soutard;Château Soutard;TESLA Recharge à Destination;;Château Soutard;1 Lieu-dit Soutard, Saint-Emilion,  33330 France;33426;-0.150278;44.89803;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Soutard;Château Soutard;TESLA Recharge à Destination;;Château Soutard;1 Lieu-dit Soutard, Saint-Emilion,  33330 France;33426;-0.150278;44.89803;3;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Talluy;Château Talluy;TESLA Recharge à Destination;;Château Talluy;144 rue du Pensionnat, Taluyers,  69440 France;69195;4.72231;45.639641;2;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Talluy;Château Talluy;TESLA Recharge à Destination;;Château Talluy;144 rue du Pensionnat, Taluyers,  69440 France;69195;4.72231;45.639641;2;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Château Vignelaure;Château Vignelaure;TESLA Recharge à Destination;;Château Vignelaure;Route de Jouques, Rians,  83560 France;83066;5.690649;43.612833;2;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
Château Vignelaure;Château Vignelaure;TESLA Recharge à Destination;;Château Vignelaure;Route de Jouques, Rians,  83560 France;83066;5.690649;43.612833;2;;11;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
Châteaux de la Messardiere;Châteaux de la Messardiere;TESLA Recharge à Destination;;Châteaux de la Messardiere;2 Route de tahiti, Saint-Tropez,  83990 France;83119;6.657864;43.253578;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
