n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilite;observations;date_maj
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33238*002;LEOGNAN - Parking Eglise;Parking Eglise 33850 LEOGNAN;33238;-0,60147196;44,72771181;2;FR*S33*E33238*002*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33238*002;LEOGNAN - Parking Eglise;Parking Eglise 33850 LEOGNAN;33238;-0,60147196;44,72771181;2;FR*S33*E33238*002*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33527*002;LE TEICH - Parking Gare;Parking Gare 33140 LE TEICH;33527;-1,025833333;44,6327778;2;FR*S33*E33527*002*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33527*002;LE TEICH - Parking Gare;Parking Gare 33140 LE TEICH;33527;-1,025833333;44,6327778;2;FR*S33*E33527*002*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33122*001;CESTAS - Bourg;Bourg 33610 CESTAS;33122;-0,684627916;44,74170766;2;FR*S33*E33122*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33122*001;CESTAS - Bourg;Bourg 33610 CESTAS;33122;-0,684627916;44,74170766;2;FR*S33*E33122*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33529*004;LA TESTE-DE-BUCH - Rue Du Général Gallieni - Parking La Poste ;Rue Du Général Gallieni - Parking La Poste 33260 LA TESTE-DE-BUCH;33529;-1,148235574;44,63166634;2;FR*S33*E33529*004*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33529*004;LA TESTE-DE-BUCH - Rue Du Général Gallieni - Parking La Poste ;Rue Du Général Gallieni - Parking La Poste 33260 LA TESTE-DE-BUCH;33529;-1,148235574;44,63166634;2;FR*S33*E33529*004*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33225*001;LANDIRAS - Place De  L'Eglise;Place De  L'Eglise 33720 LANDIRAS;33225;-0,41494;44,567454;2;FR*S33*E33225*001*1;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
SDEEG 33;BOUYGUES ENERGIES ET SERVICES;MObiVE;FR*S33*P33225*001;LANDIRAS - Place De  L'Eglise;Place De  L'Eglise 33720 LANDIRAS;33225;-0,41494;44,567454;2;FR*S33*E33225*001*2;18;T2 - EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;31/03/2020
