,Départements,Année,Essence + Superéthanol < 6CV,Essence + Superéthanol 6 à 7CV,Essence + Superéthanol 8CV et +,Hybride essence < 6CV,Hybride essence 6CV et +,Gazole < 6CV,Gazole 6CV et +,Essence-GPL < 6CV,Essence-GPL 6CV et +,Electricité,Total,Hybride gazole
500,Jura,2010,1440.0,371.0,172.0,12.0,6.0,3143.0,2961.0,536.0,1.0,0.0,8647.0,0.0
501,Jura,2011,1478.0,394.0,151.0,26.0,5.0,2888.0,3296.0,69.0,5.0,5.0,8318.0,0.0
502,Jura,2012,1224.0,377.0,158.0,5.0,29.0,2474.0,2720.0,13.0,8.0,6.0,7069.0,55.0
503,Jura,2013,1538.0,473.0,171.0,93.0,6.0,2228.0,2210.0,9.0,8.0,29.0,6829.0,64.0
504,Jura,2014,1612.0,526.0,173.0,96.0,7.0,2104.0,2113.0,12.0,11.0,28.0,6725.0,43.0
505,Jura,2015,1956.0,723.0,254.0,141.0,16.0,1959.0,2244.0,3.0,3.0,61.0,7430.0,70.0
506,Jura,2016,2140.0,967.0,309.0,88.0,36.0,1532.0,2151.0,2.0,1.0,72.0,7320.0,22.0
507,Jura,2017,2131.0,1199.0,359.0,152.0,50.0,1300.0,2289.0,2.0,0.0,71.0,7560.0,7.0
508,Jura,2018,2541.0,1494.0,414.0,194.0,56.0,1060.0,2092.0,1.0,2.0,121.0,7999.0,24.0
509,Jura,2019,2681.0,1327.0,554.0,191.0,80.0,788.0,2118.0,3.0,3.0,131.0,7927.0,51.0
510,Landes,2010,2374.0,528.0,174.0,38.0,9.0,5191.0,4628.0,420.0,3.0,0.0,13367.0,0.0
511,Landes,2011,2350.0,591.0,178.0,52.0,5.0,4704.0,4997.0,64.0,4.0,8.0,12956.0,0.0
512,Landes,2012,1965.0,485.0,140.0,17.0,58.0,3847.0,4131.0,12.0,2.0,19.0,10733.0,56.0
513,Landes,2013,2235.0,619.0,151.0,128.0,15.0,3841.0,3185.0,3.0,8.0,24.0,10279.0,70.0
514,Landes,2014,2628.0,625.0,195.0,117.0,13.0,3615.0,3065.0,7.0,4.0,38.0,10351.0,44.0
515,Landes,2015,3400.0,960.0,258.0,130.0,17.0,3286.0,3189.0,8.0,5.0,73.0,11388.0,61.0
516,Landes,2016,3584.0,1276.0,350.0,187.0,63.0,2760.0,3117.0,1.0,1.0,98.0,11455.0,16.0
517,Landes,2017,3689.0,1863.0,462.0,343.0,83.0,2563.0,3234.0,6.0,4.0,94.0,12348.0,7.0
518,Landes,2018,4525.0,2424.0,456.0,530.0,122.0,1858.0,3208.0,9.0,5.0,141.0,13295.0,17.0
519,Landes,2019,4669.0,2263.0,686.0,638.0,192.0,1272.0,3169.0,4.0,13.0,199.0,13157.0,48.0
520,Loir-et-Cher,2010,1840.0,370.0,150.0,35.0,3.0,3613.0,3754.0,350.0,0.0,0.0,10116.0,0.0
521,Loir-et-Cher,2011,1573.0,449.0,193.0,39.0,5.0,2444.0,3739.0,52.0,0.0,6.0,8501.0,0.0
522,Loir-et-Cher,2012,1367.0,410.0,141.0,11.0,67.0,2055.0,3231.0,10.0,1.0,26.0,7358.0,39.0
523,Loir-et-Cher,2013,1434.0,456.0,145.0,120.0,7.0,1874.0,2372.0,9.0,9.0,23.0,6489.0,40.0
524,Loir-et-Cher,2014,1512.0,533.0,133.0,131.0,14.0,1931.0,2084.0,8.0,4.0,84.0,6455.0,21.0
525,Loir-et-Cher,2015,1743.0,666.0,188.0,129.0,17.0,2409.0,2104.0,6.0,3.0,100.0,7423.0,58.0
526,Loir-et-Cher,2016,1934.0,994.0,303.0,193.0,43.0,1468.0,2227.0,2.0,1.0,128.0,7307.0,14.0
527,Loir-et-Cher,2017,2022.0,1361.0,398.0,243.0,51.0,1112.0,2141.0,0.0,0.0,96.0,7429.0,4.0
528,Loir-et-Cher,2018,2711.0,1647.0,474.0,282.0,90.0,872.0,2160.0,7.0,3.0,104.0,8364.0,14.0
529,Loir-et-Cher,2019,2486.0,1483.0,909.0,246.0,123.0,666.0,2301.0,3.0,3.0,120.0,8390.0,48.0
530,Loire,2010,4391.0,889.0,397.0,39.0,8.0,8469.0,7083.0,949.0,2.0,0.0,22228.0,0.0
