,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
19,2016-08-31,14705.54519736054,13532.52314730203,15785.599050208939,14705.54519736054,14705.54519736054,-100.38287893185044,-100.38287893185044,-100.38287893185044,-100.38287893185044,-100.38287893185044,-100.38287893185044,0.0,0.0,0.0,14605.16231842869
20,2016-09-30,15118.253394999372,13265.504491225067,15552.018413532767,15118.253394999372,15118.253394999372,-704.7152929515046,-704.7152929515046,-704.7152929515046,-704.7152929515046,-704.7152929515046,-704.7152929515046,0.0,0.0,0.0,14413.538102047867
21,2016-10-31,15544.718532559498,14393.270203556305,16671.1945877074,15544.718532559498,15544.718532559498,-86.193119303182,-86.193119303182,-86.193119303182,-86.193119303182,-86.193119303182,-86.193119303182,0.0,0.0,0.0,15458.525413256317
22,2016-11-30,15957.797867881967,14087.328334148791,16368.552588730032,15957.797867881967,15957.797867881967,-722.844018326086,-722.844018326086,-722.844018326086,-722.844018326086,-722.844018326086,-722.844018326086,0.0,0.0,0.0,15234.95384955588
23,2016-12-31,16384.646514381846,14383.180387958868,16645.304347993577,16384.646514381846,16384.646514381846,-820.0820674207592,-820.0820674207592,-820.0820674207592,-820.0820674207592,-820.0820674207592,-820.0820674207592,0.0,0.0,0.0,15564.564446961087
24,2017-01-31,16811.677282217966,15515.432425780897,17593.89985100143,16811.677282217966,16811.677282217966,-248.90425228372322,-248.90425228372322,-248.90425228372322,-248.90425228372322,-248.90425228372322,-248.90425228372322,0.0,0.0,0.0,16562.773029934244
25,2017-02-28,17197.593774592195,15389.653907989243,17724.735342749525,17197.593774592195,17197.593774592195,-573.9674967424992,-573.9674967424992,-573.9674967424992,-573.9674967424992,-573.9674967424992,-573.9674967424992,0.0,0.0,0.0,16623.626277849697
26,2017-03-31,17624.85846257794,17043.571077367098,19359.90533013668,17624.85846257794,17624.85846257794,560.9759346772145,560.9759346772145,560.9759346772145,560.9759346772145,560.9759346772145,560.9759346772145,0.0,0.0,0.0,18185.834397255156
27,2017-04-30,18038.423865045363,17165.58584134624,19501.3807500286,18038.423865045363,18038.423865045363,335.36531619498123,335.36531619498123,335.36531619498123,335.36531619498123,335.36531619498123,335.36531619498123,0.0,0.0,0.0,18373.789181240343
28,2017-05-31,18465.774780928365,17812.634748024357,20087.447521937895,18465.774780928365,18465.774780928365,480.9128756426094,480.9128756426094,480.9128756426094,480.9128756426094,480.9128756426094,480.9128756426094,0.0,0.0,0.0,18946.687656570975
29,2017-06-30,18879.492379765565,18046.87272722178,20276.852347631397,18879.492379765565,18879.492379765565,341.3417466610796,341.3417466610796,341.3417466610796,341.3417466610796,341.3417466610796,341.3417466610796,0.0,0.0,0.0,19220.834126426646
30,2017-07-31,19307.000565230668,18686.27406887984,20926.687323527807,19307.000565230668,19307.000565230668,509.2244481078597,509.2244481078597,509.2244481078597,509.2244481078597,509.2244481078597,509.2244481078597,0.0,0.0,0.0,19816.225013338528
31,2017-08-31,19734.558808191105,18377.70804704668,20570.79118000401,19734.558808191105,19734.558808191105,-296.735082335497,-296.735082335497,-296.735082335497,-296.735082335497,-296.735082335497,-296.735082335497,0.0,0.0,0.0,19437.823725855607
32,2017-09-30,20148.324849765726,18596.263078642172,20907.377570652454,20148.324849765726,20148.324849765726,-384.7052774929642,-384.7052774929642,-384.7052774929642,-384.7052774929642,-384.7052774929642,-384.7052774929642,0.0,0.0,0.0,19763.61957227276
33,2017-10-31,20575.938070098764,19138.004806869783,21367.227898183784,20575.938070098764,20575.938070098764,-292.01230778515617,-292.01230778515617,-292.01230778515617,-292.01230778515617,-292.01230778515617,-292.01230778515617,0.0,0.0,0.0,20283.925762313607
34,2017-11-30,20989.757315582356,19268.091144652968,21559.564525959868,20989.757315582356,20989.757315582356,-522.6755655336191,-522.6755655336191,-522.6755655336191,-522.6755655336191,-522.6755655336191,-522.6755655336191,0.0,0.0,0.0,20467.081750048736
35,2017-12-31,21417.549348096632,19435.34229399186,21700.668586524254,21417.549348096632,21417.549348096632,-825.2707828976753,-825.2707828976753,-825.2707828976753,-825.2707828976753,-825.2707828976753,-825.2707828976753,0.0,0.0,0.0,20592.278565198958
36,2018-01-31,21845.341380610913,20515.64255542965,22779.86586848434,21845.341380610913,21845.341380610913,-206.00225983586614,-206.00225983586614,-206.00225983586614,-206.00225983586614,-206.00225983586614,-206.00225983586614,0.0,0.0,0.0,21639.339120775046
